model,benchmark,stratifier,ensemble,iv_gap,iv_se,z,p_one,p_two,n_strata
meta-llama/Llama-3.1-8B,arc_challenge,random_3,v2,0.16595744680851066,0.246898045992479,0.6721699482934185,0.7492622449377688,0.5014755101244623,1
meta-llama/Llama-3.1-8B,arc_challenge,random_4,v2,0.002178142287664641,0.1397465409748386,0.015586377111522323,0.5062178130728213,0.9875643738543574,2
meta-llama/Llama-3.1-8B,humaneval,kmeans4,v2,-0.2727272727272727,0.14083575804390605,-1.9364916731037085,0.02640375570805679,0.05280751141611358,1
meta-llama/Llama-3.1-8B,humaneval,len_quintile,v2,-0.3142857142857143,0.3066163815620047,-1.0250127950915064,0.15267857520025918,0.30535715040051836,1
meta-llama/Llama-3.1-8B,humaneval,pred_acc,v2,-0.35,0.2945941518185897,-1.1880751801737361,0.11740189588906563,0.23480379177813127,1
meta-llama/Llama-3.1-8B,humaneval,random_0,v2,0.01785714285714285,0.18982403237026163,0.09407208683835967,0.5374740532472078,0.9250518935055845,1
meta-llama/Llama-3.1-8B,humaneval,random_1,v2,-0.125,0.125,-1.0,0.15865525393145707,0.31731050786291415,1
meta-llama/Llama-3.1-8B,humaneval,random_2,v2,0.1144278606965174,0.13274122258164936,0.8620371160596523,0.8056664531830461,0.38866709363390783,2
meta-llama/Llama-3.1-8B,humaneval,random_3,v2,0.08571428571428567,0.2720544163254419,0.31506301890630206,0.6236430968684737,0.7527138062630525,1
meta-llama/Llama-3.1-8B,humaneval,random_4,v2,-0.08536585365853656,0.1301448015738384,-0.6559297999321453,0.25593464665362015,0.5118692933072403,2
microsoft/phi-4,gsm8k_test,pred_acc,v2,-0.008080808080808105,0.20391790604315072,-0.03962775137117257,0.48419495120828093,0.9683899024165619,1
microsoft/phi-4,mmlu_test,len_quintile,v2,0.10440251572327042,0.2476244043765129,0.4216164234140929,0.6633474916593021,0.6733050166813959,1
microsoft/phi-4,mmlu_test,pred_acc,v2,0.21717171717171715,0.22589738074109836,0.9613733300459039,0.8318177554463646,0.3363644891072708,1
microsoft/phi-4,arc_challenge,kmeans4,v2,-0.05021659958585885,0.08700910323328842,-0.5771419049248022,0.2819217991174077,0.5638435982348154,3
microsoft/phi-4,arc_challenge,len_quintile,v2,0.10619821886827918,0.11820171068304389,0.8984490855047615,0.8155269112027965,0.36894617759440695,2
microsoft/phi-4,arc_challenge,pred_acc,v2,0.07641255076720745,0.021039670972337617,3.6318320218824987,0.9998592918562813,0.000281416287437386,3
microsoft/phi-4,arc_challenge,random_0,v2,-0.088311062969349,0.09346670724493418,-0.9448397784884562,0.17237034013604619,0.34474068027209237,4
microsoft/phi-4,arc_challenge,random_1,v2,0.18039317633366578,0.029481706922935166,6.118817231485661,0.9999999995286377,9.427245650783789e-10,4
microsoft/phi-4,arc_challenge,random_2,v2,-0.10180899722134137,0.09919917527060003,-1.0263089077466838,0.1523729999160348,0.3047459998320696,3
microsoft/phi-4,arc_challenge,random_3,v2,-0.08891561318370915,0.09013402686160432,-0.9864822007812213,0.16194827269084067,0.32389654538168133,4
microsoft/phi-4,arc_challenge,random_4,v2,-0.052147766159299884,0.08627812227172804,-0.6044147089231202,0.2727839795019206,0.5455679590038413,4
microsoft/phi-4,humaneval,kmeans4,v2,-0.125,0.125,-1.0,0.15865525393145707,0.31731050786291415,1
microsoft/phi-4,humaneval,len_quintile,v2,-0.1,0.223606797749979,-0.4472135954999579,0.32736042300928847,0.6547208460185769,1
microsoft/phi-4,humaneval,pred_acc,v2,-0.11666666666666668,0.21666666666666667,-0.5384615384615385,0.2951292256573859,0.5902584513147718,1
microsoft/phi-4,humaneval,random_0,v2,0.02352941176470592,0.07669649888473704,0.3067859955389487,0.6204968657358017,0.7590062685283967,2
microsoft/phi-4,humaneval,random_2,v2,0.07692307692307693,0.07692307692307693,1.0,0.8413447460685429,0.31731050786291415,1
microsoft/phi-4,humaneval,random_3,v2,-0.14285714285714285,0.14285714285714288,-0.9999999999999998,0.15865525393145707,0.31731050786291415,1
