model,benchmark,ensemble,n_total,n_clean_lt_0.1,n_mid,n_contam_gt_0.5,frac_contam
meta-llama/Llama-3.1-8B,humaneval,v2,164,19,121,24,0.14634146341463414
meta-llama/Llama-3.1-8B,livecodebench,v2,400,42,274,84,0.21
meta-llama/Llama-3.1-8B,math,v2,1000,171,615,214,0.214
meta-llama/Llama-3.1-8B,math500,v2,500,73,298,129,0.258
meta-llama/Llama-3.1-8B,mbpp,v2,500,397,92,11,0.022
meta-llama/Llama-3.1-8B,mmlu_test,v2,969,931,32,6,0.006191950464396285
meta-llama/Llama-3.1-8B,truthfulqa_mc,v2,817,669,146,2,0.0024479804161566705
microsoft/phi-4,agieval,v2,999,930,63,6,0.006006006006006006
microsoft/phi-4,aime2024,v2,90,48,29,13,0.14444444444444443
microsoft/phi-4,arc_challenge,v2,1000,637,333,30,0.03
microsoft/phi-4,bbh,v2,999,686,255,58,0.05805805805805806
microsoft/phi-4,gsm8k_test,v2,1000,589,404,7,0.007
microsoft/phi-4,hellaswag_val,v2,1000,990,10,0,0.0
microsoft/phi-4,humaneval,v2,164,33,111,20,0.12195121951219512
microsoft/phi-4,livecodebench,v2,400,63,251,86,0.215
microsoft/phi-4,math,v2,1000,94,436,470,0.47
microsoft/phi-4,math500,v2,500,43,185,272,0.544
microsoft/phi-4,mbpp,v2,500,303,154,43,0.086
microsoft/phi-4,mmlu_test,v2,969,908,55,6,0.006191950464396285
microsoft/phi-4,truthfulqa_mc,v2,817,704,112,1,0.0012239902080783353
mistralai/Mistral-7B-v0.3,agieval,v2,999,848,147,4,0.004004004004004004
mistralai/Mistral-7B-v0.3,aime2024,v2,90,25,62,3,0.03333333333333333
mistralai/Mistral-7B-v0.3,arc_challenge,v2,1000,833,165,2,0.002
mistralai/Mistral-7B-v0.3,bbh,v2,999,746,253,0,0.0
mistralai/Mistral-7B-v0.3,gsm8k_test,v2,1000,400,588,12,0.012
mistralai/Mistral-7B-v0.3,hellaswag_val,v2,1000,1000,0,0,0.0
mistralai/Mistral-7B-v0.3,humaneval,v2,164,51,102,11,0.06707317073170732
mistralai/Mistral-7B-v0.3,livecodebench,v2,400,2,146,252,0.63
